Plataforma,Métrica,UFC Hub,SIGAA,UFC Notícias,Unidade
Desktop,performance,99.53,88.00,85.30,%
Desktop,accessibility,96.00,75.00,78.50,%
Desktop,best-practices,96.00,77.00,88.00,%
Desktop,seo,100.00,42.00,100.00,%
Mobile,performance,97.60,80.00,74.60,%
Mobile,accessibility,96.00,75.00,78.50,%
Mobile,best-practices,96.00,73.00,85.00,%
Mobile,seo,100.00,42.00,99.20,%
