Plataforma,Métrica,UFC Hub,SIGAA,UFC Notícias,Unidade
Desktop,performance,100.00,85.90,90.10,%
Desktop,accessibility,100.00,80.50,77.50,%
Desktop,best-practices,98.67,79.00,92.00,%
Desktop,seo,100.00,42.00,100.00,%
Mobile,performance,96.97,69.10,88.20,%
Mobile,accessibility,100.00,80.50,77.50,%
Mobile,best-practices,98.67,77.00,88.00,%
Mobile,seo,100.00,42.00,100.00,%
