Plataforma,Categoria,Média,Mediana,Desvio Padrão,Mínimo,Máximo,Unidade
Desktop,performance,99.80,100.00,0.45,99.00,100.00,%
Desktop,accessibility,96.00,96.00,0.00,96.00,96.00,%
Desktop,best-practices,96.00,96.00,0.00,96.00,96.00,%
Desktop,seo,100.00,100.00,0.00,100.00,100.00,%
Mobile,performance,98.00,98.00,1.22,97.00,100.00,%
Mobile,accessibility,96.00,96.00,0.00,96.00,96.00,%
Mobile,best-practices,96.00,96.00,0.00,96.00,96.00,%
Mobile,seo,100.00,100.00,0.00,100.00,100.00,%
