Plataforma,Categoria,Média,Mediana,Desvio Padrão,Mínimo,Máximo,Unidade
Desktop,performance,100.00,100.00,0.00,100.00,100.00,%
Desktop,accessibility,100.00,100.00,0.00,100.00,100.00,%
Desktop,best-practices,100.00,100.00,0.00,100.00,100.00,%
Desktop,seo,100.00,100.00,0.00,100.00,100.00,%
Mobile,performance,95.20,94.00,2.68,94.00,100.00,%
Mobile,accessibility,100.00,100.00,0.00,100.00,100.00,%
Mobile,best-practices,100.00,100.00,0.00,100.00,100.00,%
Mobile,seo,100.00,100.00,0.00,100.00,100.00,%
